company,category,domain,region_fit,activation_lead,activation_lead_source,note
Anheuser-Busch,beer,,st_louis_hq,,,"Client list reads 'Anheuser-Busch or its St. Louis distributor'. Two different legal entities with two different sponsorship desks. Client picks one."
4 Hands Brewing,beer,4handsbrewery.com,st_louis_local,,,
Schlafly Beer,beer,schlafly.com,st_louis_local,,,
BeatBox Beverages,rtd_alcohol,beatboxbeverages.com,national,"Listed sponsor, Electric Forest 2026 (June 25-28, Rothbury MI)",https://www.electricforest.com/sponsors/,"Client's own pick, and the strongest comp on the list: Midwest electronic camping festival. Age-gated activation."
Liquid Death,water,liquiddeath.com,national,,,"Heavy music-festival activation history."
Electrolit,hydration,electrolit.com,national,"Listed sponsor, Electric Forest 2026; EDC Las Vegas 2026 Discovery Project",https://www.electricforest.com/sponsors/,"Client's own pick, confirmed active in EDM sponsorship in 2026."
Celsius,energy,celsius.com,national,,,
C4 Energy,energy,c4energy.com,national,,,
Ghost Energy,energy,ghostlifestyle.com,national,"Exclusive energy partner, Insomniac/EDC (multi-year)",https://www.bevnet.com/news/2023/ghost-and-insomniac-spark-an-electrifying-multi-year-partnership/,"Client's own pick. Category may already be locked by the Insomniac deal — check exclusivity before pitching."
Proper Cannabis,cannabis,,missouri,,,"Compliance-gated category. Domain not supplied."
Good Day Farm,cannabis,,missouri,,,"Compliance-gated category. Domain not supplied."
Greenlight Dispensary,cannabis,,missouri,,,"Compliance-gated category. Domain not supplied."
Head Change,cannabis,,unknown,,,"Ambiguous entity. Several unrelated businesses use this name."
Bass Pro Shops,camping_outdoor,basspro.com,missouri_hq,,,
Coleman,camping_outdoor,coleman.com,national,,,
Jackery,portable_power,jackery.com,national,,,
EcoFlow,portable_power,ecoflow.com,national,,,
Casey's,convenience_fuel,caseys.com,midwest,,,
QuikTrip,convenience_fuel,quiktrip.com,midwest,,,
Schnucks,grocery,schnucks.com,st_louis_local,,,
Together Credit Union,finance,togethercu.org,st_louis_local,,,
First Community Credit Union,finance,firstcommunity.com,st_louis_local,,,
Imo's Pizza,food,imospizza.com,st_louis_local,,,
Drury Hotels,hospitality,druryhotels.com,st_louis_hq,,,
Explore St. Louis,tourism,explorestlouis.com,st_louis_local,,,
Sun Cruiser,vodka_rtd,drinksuncruiser.com,national,"Listed sponsor, Electric Forest 2026 (June 25-28, Rothbury MI)",https://www.electricforest.com/sponsors/,"Vodka iced tea, Boston Beer Company. Closest comp on this list: Midwest electronic camping festival, same audience, same activation form. Age-gated."
NUTRL,vodka_rtd,nutrlusa.com,st_louis_parent,"Listed sponsor, Ultra Music Festival; brand activation at Lollapalooza 2026 (Chicago)",https://ultramusicfestival.com/sponsors/,"Vodka seltzer owned by Anheuser-Busch, whose HQ is St. Louis. The vodka ask and the Anheuser-Busch ask on row 1 may be the same conversation. Age-gated."
Belvedere Vodka,vodka,belvederevodka.com,national,"Listed sponsor, Ultra Music Festival; documented Miami Music Week activations",https://ultramusicfestival.com/sponsors/,"Moet Hennessy. Long Ultra history including a limited-edition Miami bottle and the Belve Music Lounge. Premium tier, likely VIP-hospitality fit rather than general admission. Age-gated."
Volcan X.A,tequila,,national,"Listed sponsor, Ultra Music Festival",https://ultramusicfestival.com/sponsors/,"Tequila at a pure electronic festival, which is the exact precedent the client asked for. Domain unverified, so the client or a researcher supplies it before this row can enter a run."
818 Tequila,tequila,drink818.com,national,"818 Outpost, Coachella 2026 (April 10), live performances including Kaytranada",https://www.eventmarketer.com/article/coachella-2026-experiential/,"Fourth consecutive year running its own festival-adjacent venue rather than buying signage. Builds activations, which is what a first-year festival can actually sell. Age-gated."
Absolut,vodka,absolut.com,national,"Official vodka, Coachella 2026, Heat Haus activation",https://www.eventmarketer.com/article/coachella-2026-experiential/,"Pernod Ricard. Runs branded environments with cocktail programs. Age-gated."
Ciroc,vodka,,national,"Ciroc Athletic Club, Coachella 2026 (invite-only, private Indio estate)",https://www.eventmarketer.com/article/coachella-2026-experiential/,"Diageo. Invite-only hospitality model, which maps to a VIP tier rather than a main-stage deal. Domain unverified, so the client or a researcher supplies it before this row can enter a run."
